Name	RA	DEC	Period (d)
UZ Sex	157.1455451	-0.008488301519	0.596
CC Cet	47.72933558	9.823449969	0.284
LM com	186.6284745	30.64796667	0.259
EG Uma	183.9331015	52.51645661	0.668
EGGR 38	68.09948359	17.75059415	0.563
WD 1339+606	205.2502156	60.43609787	0.49366
WD 1436-216	219.802748	-21.83727519	2.0177
WD 1458+171	225.0805225	16.98727937	0.246086
WD 1504+546	226.5225344	54.47185058	0.930722
WD 2317+268	350.0169884	27.10657437	0.7944
V727 Car	161.0390883	-69.30495182	0.337
WD 0137-349	24.92833467	-34.71120437	0.079429939
HRCam	109.2924326	74.01090182	0.103
MS Peg	344.7011951	25.26188584	0.173
WD2257+162	344.9450586	16.48791373	0.323
QS Vir	207.466864	-13.22686755	0.150758
