Atom (X) 	A 	ATW 	log n 	n(X)/n(H) (by number) 	n(X)/n(He) (by number)	mass fraction
H	1 	1.0080	12.00 	1.000E+00 	1.175E+01 	7.374E-01
He	2 	4.0026	10.93 	8.511E-02 	1.000E+00 	2.492E-01
Li	3 	6.9390	1.05 	1.122E-11 	1.318E-10 	5.698E-11
Be	4 	9.0120	1.38 	2.399E-11 	2.818E-10 	1.582E-10
B	5 	10.8100 	2.70 	5.012E-10 	5.888E-09 	3.964E-09
C	6 	12.0100 	8.43 	2.692E-04 	3.162E-03 	2.365E-03
N	7 	14.0100 	7.83 	6.761E-05 	7.943E-04 	6.928E-04
O	8 	16.0000 	8.69 	4.898E-04 	5.754E-03 	5.733E-03
F	9 	19.0000 	4.56 	3.631E-08 	4.266E-07 	5.046E-07
Ne	10 	20.1800 	7.93 	8.511E-05 	1.000E-03 	1.257E-03
Na	11 	23.0000 	6.24 	1.738E-06 	2.042E-05 	2.923E-05
Mg	12 	24.3100 	7.60 	3.981E-05 	4.677E-04 	7.079E-04
Al	13 	26.9800 	6.45 	2.818E-06 	3.311E-05 	5.563E-05
Si	14 	28.0900 	7.51 	3.236E-05 	3.802E-04 	6.649E-04
P	15 	30.9700 	5.41 	2.570E-07 	3.020E-06 	5.825E-06
S	16 	32.0600 	7.12 	1.318E-05 	1.549E-04 	3.092E-04
Cl	17 	35.4500 	5.50 	3.162E-07 	3.715E-06 	8.202E-06
Ar	18 	39.9500 	6.40 	2.512E-06 	2.951E-05 	7.341E-05
K	19 	39.1000 	5.03 	1.072E-07 	1.259E-06 	3.065E-06
Ca	20 	40.0800 	6.34 	2.188E-06 	2.570E-05 	6.415E-05
Sc	21 	44.9600 	3.15 	1.413E-09 	1.660E-08 	4.646E-08
Ti	22 	47.9000 	4.95 	8.913E-08 	1.047E-06 	3.121E-06
V	23 	50.9400 	3.93 	8.511E-09 	1.000E-07 	3.172E-07
Cr	24 	52.0000 	5.64 	4.365E-07 	5.129E-06 	1.660E-05
Mn	25 	54.9400 	5.43 	2.692E-07 	3.162E-06 	1.082E-05
Fe	26 	55.8500 	7.50 	3.162E-05 	3.715E-04 	1.292E-03
Co	27 	58.9300 	4.99 	9.772E-08 	1.148E-06 	4.213E-06
Ni	28 	58.7100 	6.22 	1.660E-06 	1.950E-05 	7.126E-05
Cu	29 	63.5460 	4.19 	1.549E-08 	1.820E-07 	7.200E-07
Zn	30 	65.4090 	4.56 	3.631E-08 	4.266E-07 	1.737E-06
Ga	31 	69.7230 	3.04 	1.096E-09 	1.288E-08 	5.593E-08
Ge	32 	72.6400 	3.65 	4.467E-09 	5.248E-08 	2.374E-07
